epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2011,0.99127,0.77804,1.26712,0.98638,1,0.995,0.90266,0.44181,0.48034,0.91052,0.000415858,0.000415858,0.000415858
2,79.2415,1.02242,0.79396,1.2891,0.96511,0.98146,0.99406,0.88367,0.42342,0.44511,0.89193,0.00081604,0.00081604,0.00081604
3,114.636,1.05626,0.78515,1.3129,0.95587,0.98956,0.995,0.87768,0.44956,0.6223,0.92017,0.00119972,0.00119972,0.00119972
4,150.274,1.09076,0.82766,1.34268,0.97433,0.98324,0.995,0.86367,0.54717,0.45346,0.95924,0.00117575,0.00117575,0.00117575
5,186.361,1.05204,0.79027,1.3079,0.97886,0.99569,0.99431,0.89952,0.53694,0.51887,0.94479,0.001151,0.001151,0.001151
6,221.279,1.03111,0.74999,1.29738,0.96636,0.97691,0.99195,0.89882,0.4442,0.52894,0.90895,0.00112625,0.00112625,0.00112625
7,256.092,1.03375,0.77616,1.28531,0.94497,1,0.9939,0.90582,0.43128,0.55964,0.89393,0.0011015,0.0011015,0.0011015
8,291.641,1.02587,0.74307,1.30444,0.95349,0.98276,0.99223,0.87321,0.59705,0.64116,0.95595,0.00107675,0.00107675,0.00107675
9,326.953,1.03711,0.74424,1.29862,0.9513,0.99043,0.98896,0.90415,0.5406,0.59565,0.96015,0.001052,0.001052,0.001052
10,362.381,0.9677,0.68928,1.24706,0.98812,0.98984,0.99487,0.89936,0.48627,0.4263,0.91688,0.00102725,0.00102725,0.00102725
11,398.2,0.96417,0.68866,1.2597,0.97726,0.99312,0.99487,0.89761,0.45699,0.44128,0.90136,0.0010025,0.0010025,0.0010025
12,434.017,0.97774,0.69293,1.25768,0.95849,0.98453,0.99389,0.89807,0.50646,0.45897,0.94301,0.00097775,0.00097775,0.00097775
13,469.748,0.96053,0.67705,1.24775,0.9712,0.98522,0.99459,0.9031,0.39404,0.73352,0.8747,0.000953,0.000953,0.000953
14,505.404,0.97613,0.70047,1.26804,0.98708,0.9903,0.99488,0.90047,0.41414,0.40691,0.87648,0.00092825,0.00092825,0.00092825
15,538.975,0.92694,0.65885,1.22685,0.97182,0.99138,0.9935,0.91205,0.54949,0.4791,0.92735,0.0009035,0.0009035,0.0009035
16,574.636,0.97851,0.67812,1.24836,0.91704,0.96983,0.96197,0.87308,0.392,0.64381,0.88992,0.00087875,0.00087875,0.00087875
17,610.108,0.99027,0.6719,1.26632,0.98027,0.99138,0.99375,0.89927,0.42562,0.47921,0.90299,0.000854,0.000854,0.000854
18,645.906,0.95166,0.66753,1.23763,0.90933,0.98017,0.97597,0.86518,0.44831,0.6237,0.90321,0.00082925,0.00082925,0.00082925
19,682.123,0.92468,0.66946,1.22864,0.98286,1,0.995,0.89492,0.59918,0.38981,0.9281,0.0008045,0.0008045,0.0008045
20,717.748,0.90851,0.62702,1.20849,0.97204,0.97414,0.99262,0.91707,0.51915,0.53194,0.93878,0.00077975,0.00077975,0.00077975
21,753.272,0.91028,0.63773,1.20946,0.975,0.97414,0.99362,0.88705,0.55186,0.42226,0.91999,0.000755,0.000755,0.000755
22,788.496,0.8921,0.63233,1.20298,0.98283,0.99193,0.99409,0.91932,0.40813,0.39198,0.87909,0.00073025,0.00073025,0.00073025
23,824.014,0.8831,0.61092,1.20255,0.9762,0.98959,0.99392,0.92828,0.42163,0.45192,0.87966,0.0007055,0.0007055,0.0007055
24,859.768,0.87185,0.59972,1.19303,0.98941,0.99761,0.995,0.90983,0.36075,0.31123,0.85972,0.00068075,0.00068075,0.00068075
25,896.02,0.86629,0.59009,1.19568,0.98558,0.98923,0.99475,0.90751,0.39675,0.34323,0.86993,0.000656,0.000656,0.000656
26,931.635,0.86118,0.59625,1.1801,0.97633,0.99009,0.99444,0.9095,0.47203,0.37643,0.89943,0.00063125,0.00063125,0.00063125
27,967.121,0.83811,0.57085,1.17045,0.98456,0.99199,0.99487,0.92008,0.41689,0.32602,0.88813,0.0006065,0.0006065,0.0006065
28,1002.72,0.83208,0.57219,1.16636,0.9843,0.99696,0.995,0.90637,0.50892,0.32832,0.89905,0.00058175,0.00058175,0.00058175
29,1038.28,0.84241,0.57326,1.17825,0.98839,0.99654,0.995,0.90419,0.37007,0.32786,0.86122,0.000557,0.000557,0.000557
30,1074,0.84996,0.56976,1.17515,0.9832,0.99877,0.995,0.91916,0.44365,0.29739,0.88514,0.00053225,0.00053225,0.00053225
31,1109.64,0.82021,0.55504,1.16123,0.98613,0.99569,0.99496,0.92068,0.39047,0.32369,0.8716,0.0005075,0.0005075,0.0005075
32,1145.67,0.80742,0.55263,1.14269,0.98959,0.99899,0.995,0.92026,0.42468,0.30159,0.87597,0.00048275,0.00048275,0.00048275
33,1181.48,0.81771,0.55671,1.15237,0.96643,1,0.99361,0.92128,0.3601,0.38856,0.85832,0.000458,0.000458,0.000458
