epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.82,0.95276,0.73427,1.26556,0.96909,1,0.995,0.9529,0.33726,0.27525,0.81611,0.000369616,0.000369616,0.000369616
2,82.3372,0.98275,0.7777,1.27762,0.96219,0.95488,0.9893,0.915,0.4116,0.39293,0.84505,0.000725298,0.000725298,0.000725298
3,118.97,1.02121,0.82279,1.30494,0.99009,0.97619,0.995,0.93471,0.42733,0.35549,0.84903,0.00106632,0.00106632,0.00106632
4,155.489,1.01942,0.79232,1.29391,0.98869,0.99758,0.995,0.92179,0.43043,0.3552,0.84292,0.00104501,0.00104501,0.00104501
5,191.938,1.01503,0.78514,1.29015,0.97508,1,0.995,0.93061,0.36962,0.34214,0.82656,0.00102301,0.00102301,0.00102301
6,228.379,1.02992,0.78661,1.30326,0.97682,0.98811,0.9945,0.92397,0.38044,0.38028,0.83615,0.00100101,0.00100101,0.00100101
7,263.961,1.00089,0.76195,1.27266,0.97376,0.96923,0.98747,0.92912,0.39092,0.35709,0.83943,0.000979013,0.000979013,0.000979013
8,302.162,1.00248,0.76795,1.28288,0.96075,0.98043,0.98976,0.94032,0.35039,0.34184,0.81812,0.000957015,0.000957015,0.000957015
9,339.923,0.96952,0.73009,1.25955,0.98051,0.9672,0.99117,0.94357,0.37346,0.34308,0.82945,0.000935018,0.000935018,0.000935018
10,377.963,0.95467,0.70932,1.24423,0.97819,0.97558,0.995,0.95252,0.35101,0.31446,0.81978,0.00091302,0.00091302,0.00091302
11,415.13,0.96792,0.72512,1.24891,0.9793,0.97045,0.994,0.94718,0.36561,0.34178,0.81813,0.000891022,0.000891022,0.000891022
