epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4189,0.842,0.65631,1.18014,0.96389,0.97404,0.9835,0.94376,0.33357,0.31874,0.81074,0.000369616,0.000369616,0.000369616
2,82.1214,0.97096,0.77654,1.27051,0.9751,0.96154,0.99263,0.92365,0.39832,0.35688,0.82676,0.000725298,0.000725298,0.000725298
3,118.709,1.02326,0.80196,1.301,0.95373,0.9488,0.98565,0.91308,0.41499,0.43374,0.84562,0.00106632,0.00106632,0.00106632
4,155.518,1.00779,0.7818,1.28525,0.95586,0.98479,0.99059,0.93177,0.3885,0.34008,0.82689,0.00104501,0.00104501,0.00104501
5,192.104,1.02579,0.78725,1.29618,0.97162,0.98309,0.99286,0.93765,0.39124,0.35753,0.83789,0.00102301,0.00102301,0.00102301
6,227.805,1.01178,0.7742,1.28846,0.96104,0.99242,0.98966,0.92839,0.39044,0.36219,0.83576,0.00100101,0.00100101,0.00100101
7,263.516,0.99063,0.76127,1.25927,0.94313,0.953,0.99133,0.93338,0.39022,0.40627,0.83431,0.000979013,0.000979013,0.000979013
8,298.892,0.98679,0.7592,1.26925,0.97546,0.96301,0.98548,0.94889,0.353,0.33917,0.81667,0.000957015,0.000957015,0.000957015
9,335.165,0.96727,0.73289,1.25587,0.98317,0.98951,0.995,0.94507,0.3687,0.30475,0.82946,0.000935018,0.000935018,0.000935018
10,371.793,0.94376,0.70827,1.23678,0.98408,0.98158,0.9897,0.95198,0.33268,0.31812,0.81416,0.00091302,0.00091302,0.00091302
